Date,NewCases,CumCases,NewTests,CumTests,NewDeaths,CumDeaths
25/01/2020,0,0,31,31,0,0
26/01/2020,0,0,21,52,0,0
27/01/2020,0,0,21,73,0,0
28/01/2020,0,0,24,97,0,0
29/01/2020,0,0,33,130,0,0
30/01/2020,0,0,31,161,0,0
31/01/2020,2,2,16,177,0,0
01/02/2020,0,2,26,203,0,0
02/02/2020,0,2,63,266,0,0
03/02/2020,0,2,60,326,0,0
04/02/2020,0,2,90,416,0,0
05/02/2020,0,2,52,468,0,0
06/02/2020,1,3,98,566,0,0
07/02/2020,0,3,54,620,0,0
08/02/2020,0,3,66,686,0,0
09/02/2020,1,4,109,795,0,0
10/02/2020,4,8,319,1114,0,0
11/02/2020,0,8,244,1358,0,0
12/02/2020,1,9,400,1758,0,0
13/02/2020,0,9,763,2521,0,0
14/02/2020,0,9,443,2964,0,0
15/02/2020,0,9,28,2992,0,0
16/02/2020,0,9,117,3109,0,0
17/02/2020,0,9,1392,4501,0,0
18/02/2020,0,9,415,4916,0,0
19/02/2020,0,9,300,5216,0,0
20/02/2020,0,9,333,5549,0,0
21/02/2020,0,9,336,5885,0,0
22/02/2020,0,9,267,6152,0,0
23/02/2020,4,13,172,6324,0,0
24/02/2020,0,13,212,6536,0,0
25/02/2020,0,13,259,6795,0,0
26/02/2020,0,13,337,7132,0,0
27/02/2020,3,16,558,7690,0,0
28/02/2020,4,20,1296,8986,0,0
29/02/2020,3,23,1497,10483,0,0
01/03/2020,13,36,1267,11750,0,0
02/03/2020,4,40,1775,13525,0,0
03/03/2020,12,52,386,13911,0,0
04/03/2020,33,85,2748,16659,0,0
05/03/2020,30,115,1424,18083,0,0
06/03/2020,48,163,2255,20338,1,1
07/03/2020,43,206,1122,21460,1,2
08/03/2020,67,273,2053,23513,0,2
09/03/2020,46,319,1128,24641,1,3
10/03/2020,54,373,1620,26261,3,6
11/03/2020,83,456,1215,27476,0,6
