Date,England,Scotland,Wales,Northern_Ireland,Ayrshire_and_Arran,Borders,Dumfries_and_Gallow,Fife,Forth_Valley,Grampian,Greater_Glasgow_and_Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Eileanan_Siar_(Western_Isles),Golden_Jubilee_National_Hospital,Swansea_Bay,Aneurin_Bevan,Betsi_Cadwaladr,Cardiff_and_Vale,Cwm_Taf,Hywel_Dda,Powys,Resident_outside_Wales,Unconfirmed,Blaenau_Gwent,Bridgend,Caerphilly,Carmarthenshire,Ceredigion,City_and_County_of_Swansea,City_of_Cardiff,Conwy,Denbighshire,Flintshire,Gwynedd,Isle_of_Anglesey,Merthyr_Tydfil,Monmouthshire,Neath_Port_Talbot,Newport,Pembrokeshire,Powys,Rhondda_Cynon_Taf,Torfaen_County,Vale_of_Glamorgan,Wrexham,Resident_outside_Wales,Unconfirmed,Antrim_and_Newtownabbey,Armagh_Banbridge_and_Craigavon,Belfast,Causeway_Coast_and_Glens,Derry_and_Strabane,Fermanagh_and_Omagh,Lisburn_and_Castlereagh,Mid_and_East_Antrim,Mid_Ulster,Newry_Mourne_and_Down,North_Down_and_Ards,Unconfirmed
GSS_CD,E92,S92,W92,N92,S08000015,S08000016,S08000017,S08000029,S08000019,S08000020,S08000031,S08000022,S08000032,S08000024,S08000025,S08000026,S08000030,S08000028,NA,W11000031,W11000028,W11000023,W11000029,W11000030,W11000025,W11000024,NA,NA,W06000019,W06000013,W06000018,W06000010,W06000008,W06000011,W06000015,W06000003,W06000004,W06000005,W06000002,W06000001,W06000024,W06000021,W06000012,W06000022,W06000009,W06000023,W06000016,W06000020,W06000014,W06000006,NA,NA,N09000001,N09000002,N09000003,N09000004,N09000005,N09000006,N09000007,N09000008,N09000009,N09000010,N09000011,NA
Country,England,Scotland,Wales,Northern_Ireland,Scotland,Scotland,Scotland,Scotland,Scotland,Scotland,Scotland,Scotland,Scotland,Scotland,Scotland,Scotland,Scotland,Scotland,Scotland,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Wales,Northern_Ireland,Northern_Ireland,Northern_Ireland,Northern_Ireland,Northern_Ireland,Northern_Ireland,Northern_Ireland,Northern_Ireland,Northern_Ireland,Northern_Ireland,Northern_Ireland,Northern_Ireland
Level,Country,Country,Country,Country,Health_board,Health_board,Health_board,Health_board,Health_board,Health_board,Health_board,Health_board,Health_board,Health_board,Health_board,Health_board,Health_board,Health_board,NA,Health_board,Health_board,Health_board,Health_board,Health_board,Health_board,Health_board,Health_board,Health_board,UTLA,UTLA,UTLA,UTLA,UTLA,UTLA,UTLA,UTLA,UTLA,UTLA,UTLA,UTLA,UTLA,UTLA,UTLA,UTLA,UTLA,UTLA,UTLA,UTLA,UTLA,UTLA,UTLA,UTLA,LGD,LGD,LGD,LGD,LGD,LGD,LGD,LGD,LGD,LGD,LGD,LGD
25/02/2020,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/02/2020,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/02/2020,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/02/2020,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/02/2020,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/03/2020,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/03/2020,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
