date,area,confirm,type,country,GSS_CD
25/02/2020,Northern Ireland,0,Country,Northern Ireland,N92
25/02/2020,Scotland,0,Country,Scotland,S92
25/02/2020,Wales,0,Country,Wales,W92
25/02/2020,Ayrshire and Arran,0,Health board,Scotland,S08000015
25/02/2020,Borders,0,Health board,Scotland,S08000016
25/02/2020,Dumfries and Gallow,0,Health board,Scotland,S08000017
25/02/2020,Fife,0,Health board,Scotland,S08000029
25/02/2020,Forth Valley,0,Health board,Scotland,S08000019
25/02/2020,Grampian,0,Health board,Scotland,S08000020
25/02/2020,Greater Glasgow and Clyde,0,Health board,Scotland,S08000031
25/02/2020,Highland,0,Health board,Scotland,S08000022
25/02/2020,Lanarkshire,0,Health board,Scotland,S08000032
25/02/2020,Lothian,0,Health board,Scotland,S08000024
25/02/2020,Shetland,0,Health board,Scotland,S08000026
25/02/2020,Tayside,0,Health board,Scotland,S08000030
25/02/2020,Swansea Bay,NA,Health board,Wales,W11000031
25/02/2020,Aneurin Bevan,NA,Health board,Wales,W11000028
25/02/2020,Betsi Cadwaladr,NA,Health board,Wales,W11000023
25/02/2020,Cardiff and Vale,NA,Health board,Wales,W11000029
25/02/2020,Cwm Taf,NA,Health board,Wales,W11000030
25/02/2020,Hywel Dda,NA,Health board,Wales,W11000025
25/02/2020,Powys,NA,Health board,Wales,W11000024
25/02/2020,Antrim and Newtownabbey,NA,LGD,Northern Ireland,N09000001
25/02/2020,Armagh City Banbridge and Craigavon,NA,LGD,Northern Ireland,N09000002
25/02/2020,Belfast,NA,LGD,Northern Ireland,N09000003
25/02/2020,Causeway Coast and Glens,NA,LGD,Northern Ireland,N09000004
25/02/2020,Derry City and Strabane,NA,LGD,Northern Ireland,N09000005
25/02/2020,Fermanagh and Omagh,NA,LGD,Northern Ireland,N09000006
25/02/2020,Lisburn and Castlereagh,NA,LGD,Northern Ireland,N09000007
25/02/2020,Mid and East Antrim,NA,LGD,Northern Ireland,N09000008
25/02/2020,Mid Ulster,NA,LGD,Northern Ireland,N09000009
25/02/2020,Newry Mourne and Down,NA,LGD,Northern Ireland,N09000010
25/02/2020,Ards and North Down,NA,LGD,Northern Ireland,N09000011
25/02/2020,Blaenau Gwent,0,UTLA,Wales,W06000019
25/02/2020,Bridgend,0,UTLA,Wales,W06000013
25/02/2020,Caerphilly,0,UTLA,Wales,W06000018
25/02/2020,Carmarthenshire,0,UTLA,Wales,W06000010
25/02/2020,Ceredigion,0,UTLA,Wales,W06000008
25/02/2020,City and County of Swansea,0,UTLA,Wales,W06000011
25/02/2020,City of Cardiff,0,UTLA,Wales,W06000015
25/02/2020,Conwy,0,UTLA,Wales,W06000003
25/02/2020,Denbighshire,0,UTLA,Wales,W06000004
25/02/2020,Flintshire,0,UTLA,Wales,W06000005
25/02/2020,Gwynedd,0,UTLA,Wales,W06000002
25/02/2020,Isle of Anglesey,0,UTLA,Wales,W06000001
25/02/2020,Merthyr Tydfil,0,UTLA,Wales,W06000024
25/02/2020,Monmouthshire,0,UTLA,Wales,W06000021
25/02/2020,Neath Port Talbot,0,UTLA,Wales,W06000012
25/02/2020,Newport,0,UTLA,Wales,W06000022
25/02/2020,Pembrokeshire,0,UTLA,Wales,W06000009
25/02/2020,Powys,0,UTLA,Wales,W06000023
25/02/2020,Rhondda Cynon Taf,0,UTLA,Wales,W06000016
25/02/2020,Torfaen County,0,UTLA,Wales,W06000020
25/02/2020,Vale of Glamorgan,0,UTLA,Wales,W06000014
25/02/2020,Wrexham,0,UTLA,Wales,W06000006
26/02/2020,Northern Ireland,0,Country,Northern Ireland,N92
26/02/2020,Scotland,0,Country,Scotland,S92
26/02/2020,Wales,0,Country,Wales,W92
26/02/2020,Ayrshire and Arran,0,Health board,Scotland,S08000015
26/02/2020,Borders,0,Health board,Scotland,S08000016
26/02/2020,Dumfries and Gallow,0,Health board,Scotland,S08000017
26/02/2020,Fife,0,Health board,Scotland,S08000029
26/02/2020,Forth Valley,0,Health board,Scotland,S08000019
26/02/2020,Grampian,0,Health board,Scotland,S08000020
26/02/2020,Greater Glasgow and Clyde,0,Health board,Scotland,S08000031
26/02/2020,Highland,0,Health board,Scotland,S08000022
26/02/2020,Lanarkshire,0,Health board,Scotland,S08000032
26/02/2020,Lothian,0,Health board,Scotland,S08000024
26/02/2020,Shetland,0,Health board,Scotland,S08000026
26/02/2020,Tayside,0,Health board,Scotland,S08000030
26/02/2020,Swansea Bay,NA,Health board,Wales,W11000031
26/02/2020,Aneurin Bevan,NA,Health board,Wales,W11000028
26/02/2020,Betsi Cadwaladr,NA,Health board,Wales,W11000023
26/02/2020,Cardiff and Vale,NA,Health board,Wales,W11000029
26/02/2020,Cwm Taf,NA,Health board,Wales,W11000030
26/02/2020,Hywel Dda,NA,Health board,Wales,W11000025
26/02/2020,Powys,NA,Health board,Wales,W11000024
26/02/2020,Antrim and Newtownabbey,NA,LGD,Northern Ireland,N09000001
26/02/2020,Armagh City Banbridge and Craigavon,NA,LGD,Northern Ireland,N09000002
26/02/2020,Belfast,NA,LGD,Northern Ireland,N09000003
26/02/2020,Causeway Coast and Glens,NA,LGD,Northern Ireland,N09000004
26/02/2020,Derry City and Strabane,NA,LGD,Northern Ireland,N09000005
26/02/2020,Fermanagh and Omagh,NA,LGD,Northern Ireland,N09000006
26/02/2020,Lisburn and Castlereagh,NA,LGD,Northern Ireland,N09000007
26/02/2020,Mid and East Antrim,NA,LGD,Northern Ireland,N09000008
26/02/2020,Mid Ulster,NA,LGD,Northern Ireland,N09000009
26/02/2020,Newry Mourne and Down,NA,LGD,Northern Ireland,N09000010
26/02/2020,Ards and North Down,NA,LGD,Northern Ireland,N09000011
26/02/2020,Blaenau Gwent,0,UTLA,Wales,W06000019
26/02/2020,Bridgend,0,UTLA,Wales,W06000013
26/02/2020,Caerphilly,0,UTLA,Wales,W06000018
26/02/2020,Carmarthenshire,0,UTLA,Wales,W06000010
26/02/2020,Ceredigion,0,UTLA,Wales,W06000008
26/02/2020,City and County of Swansea,0,UTLA,Wales,W06000011
26/02/2020,City of Cardiff,0,UTLA,Wales,W06000015
26/02/2020,Conwy,0,UTLA,Wales,W06000003
26/02/2020,Denbighshire,0,UTLA,Wales,W06000004
26/02/2020,Flintshire,0,UTLA,Wales,W06000005
26/02/2020,Gwynedd,0,UTLA,Wales,W06000002
26/02/2020,Isle of Anglesey,0,UTLA,Wales,W06000001
26/02/2020,Merthyr Tydfil,0,UTLA,Wales,W06000024
26/02/2020,Monmouthshire,0,UTLA,Wales,W06000021
26/02/2020,Neath Port Talbot,0,UTLA,Wales,W06000012
26/02/2020,Newport,0,UTLA,Wales,W06000022
26/02/2020,Pembrokeshire,0,UTLA,Wales,W06000009
26/02/2020,Powys,0,UTLA,Wales,W06000023
26/02/2020,Rhondda Cynon Taf,0,UTLA,Wales,W06000016
26/02/2020,Torfaen County,0,UTLA,Wales,W06000020
26/02/2020,Vale of Glamorgan,0,UTLA,Wales,W06000014
26/02/2020,Wrexham,0,UTLA,Wales,W06000006
27/02/2020,Northern Ireland,1,Country,Northern Ireland,N92
27/02/2020,Scotland,0,Country,Scotland,S92
27/02/2020,Wales,0,Country,Wales,W92
27/02/2020,Ayrshire and Arran,0,Health board,Scotland,S08000015
27/02/2020,Borders,0,Health board,Scotland,S08000016
27/02/2020,Dumfries and Gallow,0,Health board,Scotland,S08000017
27/02/2020,Fife,0,Health board,Scotland,S08000029
27/02/2020,Forth Valley,0,Health board,Scotland,S08000019
27/02/2020,Grampian,0,Health board,Scotland,S08000020
27/02/2020,Greater Glasgow and Clyde,0,Health board,Scotland,S08000031
27/02/2020,Highland,0,Health board,Scotland,S08000022
27/02/2020,Lanarkshire,0,Health board,Scotland,S08000032
27/02/2020,Lothian,0,Health board,Scotland,S08000024
27/02/2020,Shetland,0,Health board,Scotland,S08000026
27/02/2020,Tayside,0,Health board,Scotland,S08000030
27/02/2020,Swansea Bay,NA,Health board,Wales,W11000031
27/02/2020,Aneurin Bevan,NA,Health board,Wales,W11000028
27/02/2020,Betsi Cadwaladr,NA,Health board,Wales,W11000023
27/02/2020,Cardiff and Vale,NA,Health board,Wales,W11000029
27/02/2020,Cwm Taf,NA,Health board,Wales,W11000030
27/02/2020,Hywel Dda,NA,Health board,Wales,W11000025
27/02/2020,Powys,NA,Health board,Wales,W11000024
27/02/2020,Antrim and Newtownabbey,NA,LGD,Northern Ireland,N09000001
27/02/2020,Armagh City Banbridge and Craigavon,NA,LGD,Northern Ireland,N09000002
27/02/2020,Belfast,NA,LGD,Northern Ireland,N09000003
27/02/2020,Causeway Coast and Glens,NA,LGD,Northern Ireland,N09000004
27/02/2020,Derry City and Strabane,NA,LGD,Northern Ireland,N09000005
27/02/2020,Fermanagh and Omagh,NA,LGD,Northern Ireland,N09000006
27/02/2020,Lisburn and Castlereagh,NA,LGD,Northern Ireland,N09000007
27/02/2020,Mid and East Antrim,NA,LGD,Northern Ireland,N09000008
27/02/2020,Mid Ulster,NA,LGD,Northern Ireland,N09000009
27/02/2020,Newry Mourne and Down,NA,LGD,Northern Ireland,N09000010
27/02/2020,Ards and North Down,NA,LGD,Northern Ireland,N09000011
27/02/2020,Blaenau Gwent,0,UTLA,Wales,W06000019
27/02/2020,Bridgend,0,UTLA,Wales,W06000013
27/02/2020,Caerphilly,0,UTLA,Wales,W06000018
27/02/2020,Carmarthenshire,0,UTLA,Wales,W06000010
27/02/2020,Ceredigion,0,UTLA,Wales,W06000008
27/02/2020,City and County of Swansea,0,UTLA,Wales,W06000011
27/02/2020,City of Cardiff,0,UTLA,Wales,W06000015
27/02/2020,Conwy,0,UTLA,Wales,W06000003
27/02/2020,Denbighshire,0,UTLA,Wales,W06000004
27/02/2020,Flintshire,0,UTLA,Wales,W06000005
27/02/2020,Gwynedd,0,UTLA,Wales,W06000002
27/02/2020,Isle of Anglesey,0,UTLA,Wales,W06000001
27/02/2020,Merthyr Tydfil,0,UTLA,Wales,W06000024
27/02/2020,Monmouthshire,0,UTLA,Wales,W06000021
27/02/2020,Neath Port Talbot,0,UTLA,Wales,W06000012
27/02/2020,Newport,0,UTLA,Wales,W06000022
27/02/2020,Pembrokeshire,0,UTLA,Wales,W06000009
27/02/2020,Powys,0,UTLA,Wales,W06000023
27/02/2020,Rhondda Cynon Taf,0,UTLA,Wales,W06000016
27/02/2020,Torfaen County,0,UTLA,Wales,W06000020
27/02/2020,Vale of Glamorgan,0,UTLA,Wales,W06000014
27/02/2020,Wrexham,0,UTLA,Wales,W06000006
28/02/2020,Northern Ireland,1,Country,Northern Ireland,N92
28/02/2020,Scotland,0,Country,Scotland,S92
28/02/2020,Wales,1,Country,Wales,W92
28/02/2020,Ayrshire and Arran,0,Health board,Scotland,S08000015
28/02/2020,Borders,0,Health board,Scotland,S08000016
28/02/2020,Dumfries and Gallow,0,Health board,Scotland,S08000017
28/02/2020,Fife,0,Health board,Scotland,S08000029
28/02/2020,Forth Valley,0,Health board,Scotland,S08000019
28/02/2020,Grampian,0,Health board,Scotland,S08000020
28/02/2020,Greater Glasgow and Clyde,0,Health board,Scotland,S08000031
28/02/2020,Highland,0,Health board,Scotland,S08000022
28/02/2020,Lanarkshire,0,Health board,Scotland,S08000032
28/02/2020,Lothian,0,Health board,Scotland,S08000024
28/02/2020,Shetland,0,Health board,Scotland,S08000026
28/02/2020,Tayside,0,Health board,Scotland,S08000030
28/02/2020,Swansea Bay,NA,Health board,Wales,W11000031
28/02/2020,Aneurin Bevan,NA,Health board,Wales,W11000028
28/02/2020,Betsi Cadwaladr,NA,Health board,Wales,W11000023
28/02/2020,Cardiff and Vale,NA,Health board,Wales,W11000029
28/02/2020,Cwm Taf,NA,Health board,Wales,W11000030
28/02/2020,Hywel Dda,NA,Health board,Wales,W11000025
28/02/2020,Powys,NA,Health board,Wales,W11000024
28/02/2020,Antrim and Newtownabbey,NA,LGD,Northern Ireland,N09000001
28/02/2020,Armagh City Banbridge and Craigavon,NA,LGD,Northern Ireland,N09000002
28/02/2020,Belfast,NA,LGD,Northern Ireland,N09000003
28/02/2020,Causeway Coast and Glens,NA,LGD,Northern Ireland,N09000004
28/02/2020,Derry City and Strabane,NA,LGD,Northern Ireland,N09000005
28/02/2020,Fermanagh and Omagh,NA,LGD,Northern Ireland,N09000006
28/02/2020,Lisburn and Castlereagh,NA,LGD,Northern Ireland,N09000007
28/02/2020,Mid and East Antrim,NA,LGD,Northern Ireland,N09000008
28/02/2020,Mid Ulster,NA,LGD,Northern Ireland,N09000009
28/02/2020,Newry Mourne and Down,NA,LGD,Northern Ireland,N09000010
28/02/2020,Ards and North Down,NA,LGD,Northern Ireland,N09000011
28/02/2020,Blaenau Gwent,0,UTLA,Wales,W06000019
28/02/2020,Bridgend,0,UTLA,Wales,W06000013
28/02/2020,Caerphilly,0,UTLA,Wales,W06000018
28/02/2020,Carmarthenshire,0,UTLA,Wales,W06000010
28/02/2020,Ceredigion,0,UTLA,Wales,W06000008
28/02/2020,City and County of Swansea,0,UTLA,Wales,W06000011
28/02/2020,City of Cardiff,0,UTLA,Wales,W06000015
28/02/2020,Conwy,0,UTLA,Wales,W06000003
28/02/2020,Denbighshire,0,UTLA,Wales,W06000004
28/02/2020,Flintshire,0,UTLA,Wales,W06000005
28/02/2020,Gwynedd,0,UTLA,Wales,W06000002
28/02/2020,Isle of Anglesey,0,UTLA,Wales,W06000001
28/02/2020,Merthyr Tydfil,0,UTLA,Wales,W06000024
28/02/2020,Monmouthshire,0,UTLA,Wales,W06000021
28/02/2020,Neath Port Talbot,0,UTLA,Wales,W06000012
28/02/2020,Newport,0,UTLA,Wales,W06000022
28/02/2020,Pembrokeshire,0,UTLA,Wales,W06000009
28/02/2020,Powys,0,UTLA,Wales,W06000023
28/02/2020,Rhondda Cynon Taf,0,UTLA,Wales,W06000016
28/02/2020,Torfaen County,0,UTLA,Wales,W06000020
28/02/2020,Vale of Glamorgan,0,UTLA,Wales,W06000014
28/02/2020,Wrexham,0,UTLA,Wales,W06000006
29/02/2020,Northern Ireland,1,Country,Northern Ireland,N92
29/02/2020,Scotland,0,Country,Scotland,S92
29/02/2020,Wales,1,Country,Wales,W92
29/02/2020,Ayrshire and Arran,0,Health board,Scotland,S08000015
29/02/2020,Borders,0,Health board,Scotland,S08000016
29/02/2020,Dumfries and Gallow,0,Health board,Scotland,S08000017
29/02/2020,Fife,0,Health board,Scotland,S08000029
29/02/2020,Forth Valley,0,Health board,Scotland,S08000019
29/02/2020,Grampian,0,Health board,Scotland,S08000020
29/02/2020,Greater Glasgow and Clyde,0,Health board,Scotland,S08000031
29/02/2020,Highland,0,Health board,Scotland,S08000022
29/02/2020,Lanarkshire,0,Health board,Scotland,S08000032
29/02/2020,Lothian,0,Health board,Scotland,S08000024
29/02/2020,Shetland,0,Health board,Scotland,S08000026
29/02/2020,Tayside,0,Health board,Scotland,S08000030
29/02/2020,Swansea Bay,NA,Health board,Wales,W11000031
29/02/2020,Aneurin Bevan,NA,Health board,Wales,W11000028
29/02/2020,Betsi Cadwaladr,NA,Health board,Wales,W11000023
29/02/2020,Cardiff and Vale,NA,Health board,Wales,W11000029
29/02/2020,Cwm Taf,NA,Health board,Wales,W11000030
29/02/2020,Hywel Dda,NA,Health board,Wales,W11000025
29/02/2020,Powys,NA,Health board,Wales,W11000024
29/02/2020,Antrim and Newtownabbey,NA,LGD,Northern Ireland,N09000001
29/02/2020,Armagh City Banbridge and Craigavon,NA,LGD,Northern Ireland,N09000002
29/02/2020,Belfast,NA,LGD,Northern Ireland,N09000003
29/02/2020,Causeway Coast and Glens,NA,LGD,Northern Ireland,N09000004
29/02/2020,Derry City and Strabane,NA,LGD,Northern Ireland,N09000005
29/02/2020,Fermanagh and Omagh,NA,LGD,Northern Ireland,N09000006
29/02/2020,Lisburn and Castlereagh,NA,LGD,Northern Ireland,N09000007
29/02/2020,Mid and East Antrim,NA,LGD,Northern Ireland,N09000008
29/02/2020,Mid Ulster,NA,LGD,Northern Ireland,N09000009
29/02/2020,Newry Mourne and Down,NA,LGD,Northern Ireland,N09000010
29/02/2020,Ards and North Down,NA,LGD,Northern Ireland,N09000011
29/02/2020,Blaenau Gwent,0,UTLA,Wales,W06000019
29/02/2020,Bridgend,0,UTLA,Wales,W06000013
29/02/2020,Caerphilly,0,UTLA,Wales,W06000018
29/02/2020,Carmarthenshire,0,UTLA,Wales,W06000010
29/02/2020,Ceredigion,0,UTLA,Wales,W06000008
