date,UTLA,confirm,type,GSS_CD
07/03/2020,Barking and Dagenham,0,UTLA,E09000002
07/03/2020,Barnet,3,UTLA,E09000003
07/03/2020,Barnsley,2,UTLA,E08000016
07/03/2020,Bath and North East Somerset,0,UTLA,E06000022
07/03/2020,Bedford,0,UTLA,E06000055
07/03/2020,Bexley,0,UTLA,E09000004
07/03/2020,Birmingham,1,UTLA,E08000025
07/03/2020,Blackburn with Darwen,0,UTLA,E06000008
07/03/2020,Blackpool,0,UTLA,E06000009
07/03/2020,Bolton,1,UTLA,E08000001
07/03/2020,"Bournemouth, Christchurch and Poole",0,UTLA,E06000058
07/03/2020,Bracknell Forest,2,UTLA,E06000036
07/03/2020,Bradford,1,UTLA,E08000032
07/03/2020,Brent,1,UTLA,E09000005
07/03/2020,Brighton and Hove,7,UTLA,E06000043
07/03/2020,"Bristol, City of",1,UTLA,E06000023
07/03/2020,Bromley,1,UTLA,E09000006
07/03/2020,Buckinghamshire,1,UTLA,E10000002
07/03/2020,Bury,4,UTLA,E08000002
07/03/2020,Calderdale,0,UTLA,E08000033
07/03/2020,Cambridgeshire,0,UTLA,E10000003
07/03/2020,Camden,2,UTLA,E09000007
07/03/2020,Central Bedfordshire,0,UTLA,E06000056
07/03/2020,Cheshire East,0,UTLA,E06000049
07/03/2020,Cheshire West and Chester,0,UTLA,E06000050
07/03/2020,Cornwall and Isles of Scilly,2,UTLA,E06000052
07/03/2020,County Durham,0,UTLA,E06000047
07/03/2020,Coventry,1,UTLA,E08000026
07/03/2020,Croydon,0,UTLA,E09000008
07/03/2020,Cumbria,4,UTLA,E10000006
07/03/2020,Darlington,0,UTLA,E06000005
07/03/2020,Derby,0,UTLA,E06000015
07/03/2020,Derbyshire,3,UTLA,E10000007
07/03/2020,Devon,10,UTLA,E10000008
07/03/2020,Doncaster,0,UTLA,E08000017
07/03/2020,Dorset,0,UTLA,E06000059
07/03/2020,Dudley,0,UTLA,E08000027
07/03/2020,Ealing,5,UTLA,E09000009
07/03/2020,East Riding of Yorkshire,0,UTLA,E06000011
07/03/2020,East Sussex,0,UTLA,E10000011
07/03/2020,Enfield,0,UTLA,E09000010
07/03/2020,Essex,3,UTLA,E10000012
07/03/2020,Gateshead,0,UTLA,E08000037
07/03/2020,Gloucestershire,3,UTLA,E10000013
07/03/2020,Greenwich,0,UTLA,E09000011
07/03/2020,Hackney and City of London,2,UTLA,E09000012
07/03/2020,Halton,0,UTLA,E06000006
07/03/2020,Hammersmith and Fulham,1,UTLA,E09000013
07/03/2020,Hampshire,2,UTLA,E10000014
07/03/2020,Haringey,0,UTLA,E09000014
07/03/2020,Harrow,1,UTLA,E09000015
07/03/2020,Hartlepool,0,UTLA,E06000001
07/03/2020,Havering,0,UTLA,E09000016
07/03/2020,"Herefordshire, County of",0,UTLA,E06000019
07/03/2020,Hertfordshire,8,UTLA,E10000015
07/03/2020,Hillingdon,1,UTLA,E09000017
07/03/2020,Hounslow,3,UTLA,E09000018
07/03/2020,Isle of Wight,1,UTLA,E06000046
07/03/2020,Islington,0,UTLA,E09000019
07/03/2020,Kensington and Chelsea,6,UTLA,E09000020
07/03/2020,Kent,2,UTLA,E10000016
07/03/2020,"Kingston upon Hull, City of",1,UTLA,E06000010
07/03/2020,Kingston upon Thames,1,UTLA,E09000021
07/03/2020,Kirklees,0,UTLA,E08000034
07/03/2020,Knowsley,0,UTLA,E08000011
07/03/2020,Lambeth,2,UTLA,E09000022
07/03/2020,Lancashire,2,UTLA,E10000017
07/03/2020,Leeds,3,UTLA,E08000035
07/03/2020,Leicester,0,UTLA,E06000016
07/03/2020,Leicestershire,1,UTLA,E10000018
07/03/2020,Lewisham,2,UTLA,E09000023
07/03/2020,Lincolnshire,1,UTLA,E10000019
07/03/2020,Liverpool,3,UTLA,E08000012
07/03/2020,Luton,2,UTLA,E06000032
07/03/2020,Manchester,5,UTLA,E08000003
07/03/2020,Medway,2,UTLA,E06000035
07/03/2020,Merton,1,UTLA,E09000024
07/03/2020,Middlesbrough,0,UTLA,E06000002
07/03/2020,Milton Keynes,1,UTLA,E06000042
07/03/2020,Newcastle upon Tyne,3,UTLA,E08000021
07/03/2020,Newham,0,UTLA,E09000025
07/03/2020,Norfolk,0,UTLA,E10000020
07/03/2020,North East Lincolnshire,0,UTLA,E06000012
07/03/2020,North Lincolnshire,0,UTLA,E06000013
07/03/2020,North Somerset,0,UTLA,E06000024
07/03/2020,North Tyneside,1,UTLA,E08000022
07/03/2020,North Yorkshire,0,UTLA,E10000023
07/03/2020,Northamptonshire,2,UTLA,E10000021
07/03/2020,Northumberland,0,UTLA,E06000057
07/03/2020,Nottingham,2,UTLA,E06000018
07/03/2020,Nottinghamshire,3,UTLA,E10000024
07/03/2020,Oldham,2,UTLA,E08000004
07/03/2020,Oxfordshire,4,UTLA,E10000025
07/03/2020,Peterborough,1,UTLA,E06000031
07/03/2020,Plymouth,0,UTLA,E06000026
07/03/2020,Portsmouth,0,UTLA,E06000044
07/03/2020,Reading,0,UTLA,E06000038
07/03/2020,Redbridge,1,UTLA,E09000026
07/03/2020,Redcar and Cleveland,0,UTLA,E06000003
07/03/2020,Richmond upon Thames,0,UTLA,E09000027
07/03/2020,Rochdale,0,UTLA,E08000005
07/03/2020,Rotherham,0,UTLA,E08000018
07/03/2020,Rutland,0,UTLA,E06000017
07/03/2020,Salford,0,UTLA,E08000006
07/03/2020,Sandwell,0,UTLA,E08000028
07/03/2020,Sefton,0,UTLA,E08000014
07/03/2020,Sheffield,0,UTLA,E08000019
07/03/2020,Shropshire,0,UTLA,E06000051
07/03/2020,Slough,0,UTLA,E06000039
07/03/2020,Solihull,0,UTLA,E08000029
07/03/2020,Somerset,1,UTLA,E10000027
07/03/2020,South Gloucestershire,0,UTLA,E06000025
07/03/2020,South Tyneside,0,UTLA,E08000023
07/03/2020,Southampton,0,UTLA,E06000045
07/03/2020,Southend-on-Sea,1,UTLA,E06000033
07/03/2020,Southwark,1,UTLA,E09000028
07/03/2020,St. Helens,0,UTLA,E08000013
07/03/2020,Staffordshire,4,UTLA,E10000028
07/03/2020,Stockport,0,UTLA,E08000007
07/03/2020,Stockton-on-Tees,0,UTLA,E06000004
07/03/2020,Stoke-on-Trent,0,UTLA,E06000021
07/03/2020,Suffolk,0,UTLA,E10000029
07/03/2020,Sunderland,0,UTLA,E08000024
07/03/2020,Surrey,4,UTLA,E10000030
07/03/2020,Sutton,0,UTLA,E09000029
07/03/2020,Swindon,1,UTLA,E06000030
07/03/2020,Tameside,0,UTLA,E08000008
07/03/2020,Telford and Wrekin,0,UTLA,E06000020
07/03/2020,Thurrock,0,UTLA,E06000034
07/03/2020,Torbay,4,UTLA,E06000027
07/03/2020,Tower Hamlets,0,UTLA,E09000030
07/03/2020,Trafford,4,UTLA,E08000009
07/03/2020,Wakefield,0,UTLA,E08000036
07/03/2020,Walsall,0,UTLA,E08000030
07/03/2020,Waltham Forest,0,UTLA,E09000031
07/03/2020,Wandsworth,2,UTLA,E09000032
07/03/2020,Warrington,0,UTLA,E06000007
07/03/2020,Warwickshire,0,UTLA,E10000031
07/03/2020,West Berkshire,0,UTLA,E06000037
07/03/2020,West Sussex,3,UTLA,E10000032
07/03/2020,Westminster,2,UTLA,E09000033
07/03/2020,Wigan,3,UTLA,E08000010
07/03/2020,Wiltshire,3,UTLA,E06000054
07/03/2020,Windsor and Maidenhead,0,UTLA,E06000040
07/03/2020,Wirral,1,UTLA,E08000015
07/03/2020,Wokingham,2,UTLA,E06000041
07/03/2020,Wolverhampton,0,UTLA,E08000031
07/03/2020,Worcestershire,0,UTLA,E10000034
07/03/2020,York,3,UTLA,E06000014
07/03/2020,East of England,16,NHS_region,E40000007
07/03/2020,London,38,NHS_region,E40000003
07/03/2020,Midlands,17,NHS_region,E40000008
07/03/2020,North East and Yorkshire,18,NHS_region,E40000009
07/03/2020,North West,26,NHS_region,E40000010
07/03/2020,South East,30,NHS_region,E40000005
07/03/2020,South West,25,NHS_region,E40000006
07/03/2020,England,184,Country,E92
07/03/2020,Scotland,11,Country,S92
07/03/2020,Ayrshire and Arran,1,NHS_region,S08000015
07/03/2020,Borders,0,NHS_region,S08000016
07/03/2020,Dumfries and Gallow,0,NHS_region,S08000017
07/03/2020,Fife,2,NHS_region,S08000018
07/03/2020,Forth Valley,2,NHS_region,S08000019
07/03/2020,Grampian,3,NHS_region,S08000020
07/03/2020,Greater Glasgow and Clyde,1,NHS_region,S08000021
07/03/2020,Highlands,0,NHS_region,S08000022
07/03/2020,Lanarkshire,0,NHS_region,S08000023
07/03/2020,Lothian,1,NHS_region,S08000024
07/03/2020,Shetland,0,NHS_region,S08000026
07/03/2020,Tayside,1,NHS_region,S08000027
08/03/2020,Barking and Dagenham,0,UTLA,E09000002
08/03/2020,Barnet,4,UTLA,E09000003
08/03/2020,Barnsley,2,UTLA,E08000016
08/03/2020,Bath and North East Somerset,0,UTLA,E06000022
08/03/2020,Bedford,0,UTLA,E06000055
08/03/2020,Bexley,0,UTLA,E09000004
08/03/2020,Birmingham,1,UTLA,E08000025
08/03/2020,Blackburn with Darwen,0,UTLA,E06000008
08/03/2020,Blackpool,0,UTLA,E06000009
08/03/2020,Bolton,2,UTLA,E08000001
08/03/2020,"Bournemouth, Christchurch and Poole",2,UTLA,E06000058
08/03/2020,Bracknell Forest,2,UTLA,E06000036
08/03/2020,Bradford,1,UTLA,E08000032
08/03/2020,Brent,3,UTLA,E09000005
08/03/2020,Brighton and Hove,7,UTLA,E06000043
08/03/2020,"Bristol, City of",2,UTLA,E06000023
08/03/2020,Bromley,1,UTLA,E09000006
08/03/2020,Buckinghamshire,1,UTLA,E10000002
08/03/2020,Bury,3,UTLA,E08000002
08/03/2020,Calderdale,0,UTLA,E08000033
08/03/2020,Cambridgeshire,0,UTLA,E10000003
08/03/2020,Camden,2,UTLA,E09000007
08/03/2020,Central Bedfordshire,0,UTLA,E06000056
08/03/2020,Cheshire East,0,UTLA,E06000049
08/03/2020,Cheshire West and Chester,0,UTLA,E06000050
08/03/2020,Cornwall and Isles of Scilly,3,UTLA,E06000052
08/03/2020,County Durham,0,UTLA,E06000047
08/03/2020,Coventry,3,UTLA,E08000026
08/03/2020,Croydon,0,UTLA,E09000008
08/03/2020,Cumbria,5,UTLA,E10000006
08/03/2020,Darlington,0,UTLA,E06000005
08/03/2020,Derby,0,UTLA,E06000015
08/03/2020,Derbyshire,4,UTLA,E10000007
08/03/2020,Devon,12,UTLA,E10000008
08/03/2020,Doncaster,0,UTLA,E08000017
08/03/2020,Dorset,0,UTLA,E06000059
08/03/2020,Dudley,0,UTLA,E08000027
08/03/2020,Ealing,5,UTLA,E09000009
