Uberstrain,Name,Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status),Source Niche,Source Type,Source Details,Collection Year,Collection Month,Collection Day,Collection Time,Continent,Country,Region,District,City,Post Code,Latitude,Longitude,Lab Contact,Species,Serological Group,Serotype,EcoR Cluster,Path/Nonpath,Simple Patho,Simple Disease,Comment,Bio Project ID,Project ID,Disease,Sample ID,Secondary Sample ID,Date Entered,Release Date,Barcode,Status,Coverage,N50,Length,Species,Contig Number(>=200 bp),Low Quality Bases,Assembly barcode,Version
ESC_BA8340AA,6-175-07_S3_C2,SRR1191671;ILLUMINA;Paired;440;SRX488753,Human,Human,stool; Homo sapiens,2009,4,,,Africa,Tanzania,,,,,,,University of Maryland Institute for Genome Sciences,Escherichia coli,,,,,,,,PRJNA233829,SRP040109,,SAMN02689050,SRS572278,27/08/2015,13/03/2014,ESC_BA8340AA,Assembled,0,194948,5200689,Escherichia coli / Shigella;97.81%,157,1329,ESC_CA0515AA_AS,2.2
ESC_BA8347AA,2-460-02_S1_C3,SRR1191661;ILLUMINA;Paired;513;SRX488742,Human,Human,stool; Homo sapiens,2009,1,,,Africa,Tanzania,,,,,,,University of Maryland Institute for Genome Sciences,Escherichia coli,,,,,,,,PRJNA233757,SRP040101,,SAMN02689042,SRS572038,27/08/2015,13/03/2014,ESC_BA8347AA,Assembled,0,216137,5354500,Escherichia coli / Shigella;99.19%,136,1394,ESC_CA1482AA_AS,2.2
ESC_BA8400AA,2-210-07_S4_C1,SRR1186782;ILLUMINA;Paired;447;SRX484072,Human,Human,stool; Homo sapiens,2009,7,,,Africa,Tanzania,,,,,,,University of Maryland Institute for Genome Sciences,Escherichia coli,,,,,,,,PRJNA233862,SRP039827,,SAMN02687528,SRS568378,27/08/2015,10/03/2014,ESC_BA8400AA,Assembled,0,206857,4824331,Escherichia coli / Shigella;97.54%,99,941,ESC_BA5958AA_AS,2.2
ESC_BA8416AA,6-537-08_S1_C3,SRR1186766;ILLUMINA;Paired;427;SRX484056,Human,Human,stool; Homo sapiens,2009,1,,,Africa,Tanzania,,,,,,,University of Maryland Institute for Genome Sciences,Escherichia coli,,,,,,,,PRJNA233773,SRP039811,,SAMN02687512,SRS568362,27/08/2015,10/03/2014,ESC_BA8416AA,Assembled,0,162951,5178105,Escherichia coli / Shigella;98.11%,223,2059,ESC_BA9483AA_AS,2.2
ESC_BA8421AA,6-537-08_S4_C1,SRR1186761;ILLUMINA;Paired;394;SRX484051,Human,Human,stool; Homo sapiens,2009,7,,,Africa,Tanzania,,,,,,,University of Maryland Institute for Genome Sciences,Escherichia coli,,,,,,,,PRJNA233884,SRP039806,,SAMN02687507,SRS568357,27/08/2015,10/03/2014,ESC_BA8421AA,Assembled,0,138363,4694948,Escherichia coli / Shigella;97.34%,129,1425,ESC_CA0389AA_AS,2.2
ESC_BA8428AA,8-415-05_S1_C2,SRR1186754;ILLUMINA;Paired;406;SRX484044,Human,Human,stool; Homo sapiens,2009,1,,,Africa,Tanzania,,,,,,,University of Maryland Institute for Genome Sciences,Escherichia coli,,,,,,,,PRJNA233733,SRP039799,,SAMN02687500,SRS568350,27/08/2015,10/03/2014,ESC_BA8428AA,Assembled,0,119609,4818135,Escherichia coli / Shigella;97.82%,158,1968,ESC_CA0531AA_AS,2.2
ESC_BA8431AA,6-319-05_S3_C1,SRR1186750;ILLUMINA;Paired;425;SRX484040,Human,Human,stool; Homo sapiens,2009,4,,,Africa,Tanzania,,,,,,,University of Maryland Institute for Genome Sciences,Escherichia coli,,,,,,,,PRJNA233802,SRP039796,,SAMN02687497,SRS568346,27/08/2015,10/03/2014,ESC_BA8431AA,Assembled,0,194948,5191539,Escherichia coli / Shigella;98.54%,167,1316,ESC_BA4238AA_AS,2.2
ESC_BA8437AA,2-427-07_S4_C1,SRR1186741;ILLUMINA;Paired;529;SRX484033,Human,Human,stool; Homo sapiens,2009,7,,,Africa,Tanzania,,,,,,,University of Maryland Institute for Genome Sciences,Escherichia coli,,,,,,,,PRJNA233865,SRP039790,,SAMN02687491,SRS568339,27/08/2015,10/03/2014,ESC_BA8437AA,Assembled,0,97870,4988489,Escherichia coli / Shigella;98.35%,201,2563,ESC_CA0757AA_AS,2.2
ESC_BA8481AA,3-073-06_S4_C2,SRR1186673;ILLUMINA;Paired;430;SRX483970,Human,Human,stool; Homo sapiens,2009,7,,,Africa,Tanzania,,,,,,,University of Maryland Institute for Genome Sciences,Escherichia coli,,,,,,,,PRJNA233906,SRP039744,,SAMN02680245,SRS568276,27/08/2015,10/03/2014,ESC_BA8481AA,Assembled,0,164184,4699649,Escherichia coli / Shigella;96.83%,106,1064,ESC_BA4548AA_AS,2.2
ESC_BA8488AA,4-203-08_S3_C2,SRR1186666;ILLUMINA;Paired;418;SRX483963,Human,Human,stool; Homo sapiens,2009,4,,,Africa,Tanzania,,,,,,,University of Maryland Institute for Genome Sciences,Escherichia coli,,,,,,,,PRJNA233828,SRP039737,,SAMN02680238,SRS568269,27/08/2015,10/03/2014,ESC_BA8488AA,Assembled,0,123484,4697447,Escherichia coli / Shigella;98.27%,131,1520,ESC_BA6686AA_AS,2.2
ESC_BA8512AA,1-182-04_S4_C1,SRR1186638;ILLUMINA;Paired;550;SRX483937,Human,Human,stool; Homo sapiens,2009,7,,,Africa,Tanzania,,,,,,,University of Maryland Institute for Genome Sciences,Escherichia coli,,,,,,,,PRJNA233874,SRP039713,,SAMN02680214,SRS568244,27/08/2015,10/03/2014,ESC_BA8512AA,Assembled,0,103943,4888913,Escherichia coli / Shigella;99.08%,123,35531,ESC_CA5525AA_AS,2.2
ESC_BA8523AA,6-175-07_S1_C2,SRR1186625;ILLUMINA;Paired;410;SRX483925,Human,Human,stool; Homo sapiens,2009,1,,,Africa,Tanzania,,,,,,,University of Maryland Institute for Genome Sciences,Escherichia coli,,,,,,,,PRJNA233746,SRP039702,,SAMN02680203,SRS568233,27/08/2015,10/03/2014,ESC_BA8523AA,Assembled,0,147789,5320918,Escherichia coli / Shigella;96.28%,186,2067,ESC_BA4494AA_AS,2.2
ESC_BA8545AA,2-427-07_S1_C3,SRR1186518;ILLUMINA;Paired;565;SRX483879,Human,Human,stool; Homo sapiens,2009,1,,,Africa,Tanzania,,,,,,,University of Maryland Institute for Genome Sciences,Escherichia coli,,,,,,,,PRJNA233756,SRP039678,,SAMN02680177,SRS568190,27/08/2015,10/03/2014,ESC_BA8545AA,Assembled,0,171774,4953632,Escherichia coli / Shigella;92.31%,141,2030,ESC_BA6780AA_AS,2.2
ESC_BA8549AA,3-373-03_S4_C1,"SRR1186497;ILLUMINA;Paired;379;SRX483858,SRR1186496;ILLUMINA;Paired;379;SRX483857",Human,Human,stool; Homo sapiens,2009,7,,,Africa,Tanzania,,,,,,,University of Maryland Institute for Genome Sciences,Escherichia coli,,,,,,,,PRJNA233881,SRP039673,,SAMN02680173,SRS568169,27/08/2015,10/03/2014,ESC_BA8549AA,Assembled,0,136157,5102103,Escherichia coli / Shigella;95.58%,242,3919,ESC_CA0117AA_AS,2.2
ESC_BA8552AA,2-005-03_S1_C3,SRR1186492;ILLUMINA;Paired;388;SRX483853,Human,Human,stool; Homo sapiens,2009,1,,,Africa,Tanzania,,,,,,,University of Maryland Institute for Genome Sciences,Escherichia coli,,,,,,,,PRJNA233749,SRP039670,,SAMN02680169,SRS568165,27/08/2015,10/03/2014,ESC_BA8552AA,Assembled,0,143088,5099092,Escherichia coli / Shigella;97.47%,198,1811,ESC_BA6544AA_AS,2.2
ESC_BA8575AA,2-427-07_S4_C2,SRR1186467;ILLUMINA;Paired;532;SRX483828,Human,Human,stool; Homo sapiens,2009,7,,,Africa,Tanzania,,,,,,,University of Maryland Institute for Genome Sciences,Escherichia coli,,,,,,,,PRJNA233893,SRP039647,,SAMN02680145,SRS568141,27/08/2015,10/03/2014,ESC_BA8575AA,Assembled,0,216137,5354655,Escherichia coli / Shigella;99.11%,118,1525,ESC_BA6425AA_AS,2.2
ESC_BA8576AA,1-110-08_S3_C2,SRR1186466;ILLUMINA;Paired;476;SRX483827,Human,Human,stool; Homo sapiens,2009,4,,,Africa,Tanzania,,,,,,,University of Maryland Institute for Genome Sciences,Escherichia coli,,,,,,,,PRJNA233817,SRP039646,,SAMN02680144,SRS568140,27/08/2015,10/03/2014,ESC_BA8576AA,Assembled,0,147614,5324193,Escherichia coli / Shigella;97.02%,201,2368,ESC_CA1382AA_AS,2.2
ESC_BA8582AA,2-005-03_S3_C2,SRR1186402;ILLUMINA;Paired;408;SRX483766,Human,Human,Homo sapiens; stool,2009,4,,,Africa,Tanzania,,,,,,,University of Maryland Institute for Genome Sciences,Escherichia coli,,,,,,,,PRJNA233804,SRP039638,,SAMN02680137,SRS568080,27/08/2015,10/03/2014,ESC_BA8582AA,Assembled,0,167914,5179020,Escherichia coli / Shigella;98.91%,207,1551,ESC_CA0610AA_AS,2.2
ESC_CA1542AA,E112/10,"SRR349660;LS454;Single;;SRX098742,SRR349663;ILLUMINA;Paired;325;SRX098743",Human,Human,,2010,,,,Africa,Tunisia,,,,,,,Uppsala University,Escherichia coli,,O104:H4,,Pathogen,EAEC,,Swede who had been travelling in Tunisia.,PRJNA73631,SRP008458,,SAMN00727756,SRS265416,27/08/2015,27/09/2012,ESC_CA1542AA,Assembled,0,114691,5347309,Escherichia coli / Shigella;99.53%,260,2367,ESC_BA8053AA_AS,2.2
ESC_CA9115AA,55989,GCF_000026245;Complete Genome;;;,Human,Human,diarrhea ,2002,,,,Africa,Central African Republic,,,,,,,European Bioinformatics Institute,Escherichia coli,,O104:H4,,Pathogen,,,,PRJNA33413,,Diarrhoea,SAMEA3138229,ERS610164,30/03/2016,18/12/2008,ESC_CA9115AA,Assembled,1,5154862,5154862,,1,0,ESC_GA4811AA_AS,NaN
ESC_FA5491AA,Ecol_745,GCF_001618345;Complete Genome;;;,Human,Human,Homo sapiens,2012,,,,Africa,Morocco,Rabat-Sale-Zemmour-Zaer,Rabat,Rabat,,34.04,-6.75,University of Oxford,Escherichia coli,,,,,,,,PRJNA224116,,,SAMN04590095,,16/12/2016,12/07/2016,ESC_FA5491AA,Assembled,1,4977366,5040910,,2,0,ESC_KA7824AA_AS,NaN
ESC_GA6964AA,CFSAN061770,"GCF_002278115;Complete Genome;;;,SRR5688555;ILLUMINA;Paired;;SRX2923119",Food,Dairy,Raw milk cheese,2016,,,,Africa,Egypt,,,,,,,FDA/CFSAN,Escherichia coli,,,,,,,,PRJNA230969,SRP058582,,SAMN06928086,SRS2288780,16/06/2017,15/06/2017,ESC_GA6964AA,Assembled,1,5292297,5711651,,4,0,ESC_VA2327AA_AS,NaN
ESC_JA6503AA,EC26,traces-0thqpUU;ILLUMINA;Paired;;NA,Wild Animal,Primate,Feces,2018,,,,Africa,Uganda,,,,,,,University of Copenhagen,Escherichia coli,,,,,,,,,,,,,17/07/2018,19/01/2019,ESC_JA6503AA,Assembled,19,72022,4675205,Escherichia coli / Shigella;87.51%,162,174494,ESC_SA9833AA_AS,4
ESC_KA1877AA,Chicken3_5,traces-0eHPORk;ILLUMINA;Paired;;NA,Poultry,Avian,,2016,,,,Africa,Gambia,,,Sibanor,,,,"Prof. Mark Pallen, Quadram Institute Bioscience",Escherichia coli / Shigella;93.67%,,,,,,,,,,,,,21/09/2018,26/03/2019,ESC_KA1877AA,Assembled,19,128079,4790254,Escherichia coli / Shigella;93.67%,89,72510,ESC_TA8586AA_AS,4
ESC_MA7950AA,TMP014973,ERR3329252;ILLUMINA;Paired;350;ERX3353967,Livestock,Swine,pig,2015,9,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611450,ERS3415639,30/05/2019,20/05/2019,ESC_MA7950AA,Assembled,21,82832,5183344,Escherichia coli / Shigella;96.28%,172,172151,ESC_ZA5491AA_AS,4
ESC_MA8782AA,ALQ020013,ERR3328295;ILLUMINA;Paired;350;ERX3353010,Human,Human,ND,2015,11,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5610618,ERS3414808,30/05/2019,20/05/2019,ESC_MA8782AA,Assembled,21,60082,5063229,Escherichia coli / Shigella;99.36%,216,197134,ESC_ZA4653AA_AS,4
ESC_JA6507AA,EC43,traces-0rHKJhS;ILLUMINA;Paired;;NA,Wild Animal,Primate,Feces,2018,,,,Africa,Uganda,,,,,,,University of Copenhagen,Escherichia coli,,,,,,,,,,,,,17/07/2018,19/01/2019,ESC_JA6507AA,Assembled,22,65129,5014525,Escherichia coli / Shigella;97.19%,180,121115,ESC_SA9837AA_AS,4
ESC_MA8381AA,INT005279,ERR3328771;ILLUMINA;Paired;350;ERX3353486,ND,Avian,ND,2016,3,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611019,ERS3415209,30/05/2019,20/05/2019,ESC_MA8381AA,Assembled,22,148611,4848128,Escherichia coli / Shigella;97.03%,83,41223,ESC_ZA5055AA_AS,4
ESC_EA4198AA,181,traces-0hAbpwK;ILLUMINA;Paired;;NA,,Human,,,,,,Africa,Tanzania,Mafisa,,,,,,"Egle Kudirkiene, University of Copenhagen",Escherichia coli,,,,,,,,,,,,,22/08/2016,24/02/2017,ESC_EA4198AA,Assembled,23,110947,4632226,Escherichia coli / Shigella;94.35%,123,20209,ESC_IA0259AA_AS,3.51
ESC_JA6505AA,EC30,traces-0RzjtZV;ILLUMINA;Paired;;NA,Wild Animal,Primate,Feces,2018,,,,Africa,Uganda,,,,,,,University of Copenhagen,Escherichia coli,,,,,,,,,,,,,17/07/2018,19/01/2019,ESC_JA6505AA,Assembled,23,65797,4636772,Escherichia coli / Shigella;88.42%,207,130637,ESC_SA9835AA_AS,4
ESC_QA1812AA,ChlosAN-18-4,SRR11015043;ILLUMINA;Paired;;SRX7670679,Wild Animal,Primate,Chlorocebus sabaeus; stool,2016,,,,Africa,Gambia,Banjul,,Serekunda,,,,Quadram Institute Biosciences,Escherichia coli,,,,,,,,PRJNA604701,SRP247121,,SAMN13978600,SRS6098414,14/02/2020,04/02/2020,ESC_QA1812AA,Assembled,23,21589,5043877,Escherichia coli / Shigella;99.72%,401,162367,ESC_IB9824AA_AS,4.1
ESC_KA9382AA,ChlosAN-18-4,"traces-0IuTkaQ;ILLUMINA;Paired;;NA,traces-0DFMWVm;ILLUMINA;Paired;;NA",Wild Animal,Primate,Chlorocebus sabaeus,2016,,,,Africa,Gambia,,,Abuko Nature ,,,,Quadram Institute Biosciences,Escherichia coli / Shigella;99.72%,,,,,,,,,,,,,23/04/2019,23/04/2019,ESC_KA9382AA,Assembled,23,21589,5043877,Escherichia coli / Shigella;99.72%,401,174299,ESC_CB0567AA_AS,4.1
ESC_JA6506AA,EC70,traces-0SGNRDE;ILLUMINA;Paired;;NA,Wild Animal,Primate,Feces,2018,,,,Africa,Uganda,,,,,,,University of Copenhagen,Escherichia coli,,,,,,,,,,,,,17/07/2018,19/01/2019,ESC_JA6506AA,Assembled,24,92547,5256110,Escherichia coli / Shigella;96.66%,189,103643,ESC_CB0041AA_AS,4.1
ESC_MA8071AA,PLQ000448,ERR3329111;ILLUMINA;Paired;350;ERX3353826,Environment,Soil/Dust,household environment,2016,7,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611329,ERS3415518,30/05/2019,20/05/2019,ESC_MA8071AA,Assembled,24,238857,4928547,Escherichia coli / Shigella;96.61%,70,20022,ESC_ZA5370AA_AS,4
ESC_MA8075AA,PLQ000279,ERR3329107;ILLUMINA;Paired;350;ERX3353822,ND,Avian,ND,2016,8,,,Africa,Kenya,,,,,,,University of Edinburgh,Escherichia coli,,,,,,,,PRJEB32607,ERP115308,,SAMEA5611325,ERS3415514,30/05/2019,20/05/2019,ESC_MA8075AA,Assembled,24,741368,4801835,Escherichia coli / Shigella;100.0%,28,9334,ESC_ZA5366AA_AS,4
ESC_MA9582AA,MEZEC54,SRR9165521;ILLUMINA;Paired;;SRX5938290,Poultry,Avian,feces; chicken,2018,8,,,Africa,South Africa,KwaZulu-Natal,,,,,,"Uppsala University, Mohamed Ezzat El Zowalaty",Escherichia coli,,,,,,,,PRJNA541983,SRP197605,,SAMN11660475,SRS4851247,31/05/2019,31/05/2019,ESC_MA9582AA,Assembled,24,116664,4839425,Escherichia coli / Shigella;98.68%,93,227443,ESC_ZA7160AA_AS,4
